"","NEIGHBOR","total_currvalue","ave_vpa_currland_only","avg_vpa"
"216","RAMBLEWOOD                               ",87808100,1281041.05585874,1769468.0393032
"217","REISTERSTOWN STATION                     ",156400600,153792.466591028,173785.410548588
"218","REMINGTON                                ",282214100,3305603.71565994,3644233.12893462
"219","RESERVOIR HILL                           ",369095286,2963795.67539305,3272754.45102719
"220","RICHNOR SPRINGS                          ",25436500,1726971.35875819,1741534.50056047
"221","RIDGELY'S DELIGHT                        ",121982000,6253966.30473607,7053776.93048834
"222","RIVERSIDE                                ",1222700000,5893356.83745523,6318268.33297122
"223","ROGNEL HEIGHTS                           ",126016800,1590524.36303916,1803800.39117003
"224","ROLAND PARK                              ",717452220,554864.185084561,652926.041828554
"225","ROSEBANK                                 ",46950100,1370262.82112651,1563389.20722491
"226","ROSEMONT                                 ",73010800,366471.355561071,571591.171895228
"227","ROSEMONT EAST                            ",116457800,532855.587266086,575466.079886872
"228","ROSEMONT HOMEOWNERS/TENANTS              ",55465900,2389073.02437996,2524041.72265935
"229","SABINA-MATTFELDT                         ",35507100,773963.573757603,808067.834806834
"230","SAINT AGNES                              ",50459300,1039767.43212253,1164629.86095025
"231","SAINT HELENA                             ",31878900,1129726.68748212,1166872.87238244
"232","SAINT JOSEPHS                            ",93213400,1449397.71271429,1562728.36291178
"233","SAINT PAUL                               ",18684400,420931.175273337,433475.034235476
"234","SANDTOWN-WINCHESTER                      ",131129500,629473.21805486,976825.621642263
"235","SETON BUSINESS PARK                      ",336918600,1475830.02300599,1794663.10950086
"236","SETON HILL                               ",68685600,1542158.5569929,1910311.03522724
"237","SHARP-LEADENHALL                         ",202155500,7294060.86128379,7744245.33788794
"238","SHIPLEY HILL                             ",48841500,631918.228279436,680401.325171045
"239","SOUTH BALTIMORE                          ",654722000,11447353.0778471,11584267.3525266
"240","SOUTH CLIFTON PARK                       ",16951200,393088.469933736,892588.54322487
"241","SPRING GARDEN INDUSTRIAL AREA            ",16509700,242992.504314726,259342.914863871
"242","STADIUM/ENTERTAINMENT AREA               ",486493825,3906653.50108173,9725419.54079572
"243","STONEWOOD-PENTWOOD-WINSTON               ",38222300,980663.877588117,2162303.00485831
"244","TAYLOR HEIGHTS                           ",29273100,253798.221393675,257135.310236825
"245","TEN HILLS                                ",119766800,725555.531345961,760114.99723859
"246","THE ORCHARDS                             ",97899700,871584.768678189,880367.414327778
"247","TOWANDA-GRANTLEY                         ",35405500,566625.800089483,752346.166199223
"248","TREMONT                                  ",45316000,2512687.46118632,2527996.68989216
"249","TUSCANY-CANTERBURY                       ",523737800,166069.243019257,178021.370271709
"250","UNION SQUARE                             ",96547600,3827672.22200849,4382779.76396829
"251","UNIVERSITY OF MARYLAND                   ",47555700,718753.179317067,29545752.4839541
"252","UPLANDS                                  ",100323200,1019253.64583135,1246590.14780912
"253","UPPER FELLS POINT                        ",510551100,9783467.653406,10275721.3222767
"254","UPTON                                    ",106754400,474853.407082082,956864.239219578
"255","VILLAGES OF HOMELAND                     ",48164500,18282.9453827033,18282.9453827033
"256","VIOLETVILLE                              ",241740486,873496.340765256,1104503.02973473
"257","WAKEFIELD                                ",39227236,246173.111435571,357629.587286094
"258","WALBROOK                                 ",102963800,1247519.24351212,1454763.84703637
"259","WALTHERSON                               ",392632600,1058630.91836597,1130515.04885199
"260","WASHINGTON HILL                          ",238087075,3331572.62815131,4163684.00903322
"261","WASHINGTON VILLAGE/PIGTOWN               ",524277800,3734541.12414819,4007086.55459691
"262","WAVERLY                                  ",154664450,2319113.53827361,2783044.35615412
"263","WEST ARLINGTON                           ",111616700,902292.992490432,945199.658932295
"264","WEST FOREST PARK                         ",152689700,565209.325213752,572502.016807249
"265","WEST HILLS                               ",125435199,1054177.83057214,1164056.93066418
"266","WESTFIELD                                ",225811800,1053645.49123661,1136130.70354607
"267","WESTGATE                                 ",163405495,1049297.83676605,1312581.7627607
"268","WESTPORT                                 ",67446200,250456.28873334,339602.955871085
"269","WILHELM PARK                             ",172819535,776017.753261336,852813.273069768
"270","WILSON PARK                              ",51178400,845358.566753663,1097626.20651748
"271","WINCHESTER                               ",34417145,1164487.02858439,1174571.74083289
"272","WINDSOR HILLS                            ",113747100,982790.27362285,1048346.43217182
"273","WINSTON-GOVANS                           ",54827300,982848.451755047,1009320.16035107
"274","WOODBERRY                                ",288677100,542106.635511698,711994.962005776
"275","WOODBOURNE HEIGHTS                       ",70308100,1103724.4575506,1198478.41126759
"276","WOODBOURNE-MCCABE                        ",35436100,952021.478895697,1110054.55661328
"277","WOODMERE                                 ",117352700,1091196.99076276,1219881.81551721
"278","WYMAN PARK                               ",146587400,6780209.50476162,6823433.58665542
"279","WYNDHURST                                ",94155400,562852.445799606,1225677.05636697
"280","YALE HEIGHTS                             ",100811200,1035986.54263082,1077350.49259613
"281","YORK-HOMELAND                            ",14929500,574639.567388908,1914291.27327128
